FID,ID_EQ_SAUDE,CATEGORIA,SIGLA_CATEGORIA,NOME,TIPO_LOGRADOURO,LOGRADOURO,NUMERO_IMOVEL,TELEFONE,NOME_BAIRRO_POPULAR,GEOMETRIA
CENTRO_SAUDE.184,184,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTA ROSA,AVE,BUENO SIQUEIRA,100,"32771578, 32771579",SANTA ROSA,POINT (610616.516978464 7802939.89519702)
CENTRO_SAUDE.423,423,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAO JOSE OPERARIO,RUA,SIMAO PEREIRA,73,"32775784, 32775693, 32775733",NOVA VISTA,POINT (615325.124955103 7800573.84679932)
CENTRO_SAUDE.441,441,CENTRO DE SAUDE,CS,CENTRO DE SAUDE MANGUEIRAS,RUA,CHAFARIZ,4,"32462004, 32462003, 32462019",PETRÓPOLIS,POINT (601365.875325809 7786688.99302105)
CENTRO_SAUDE.313,313,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SERRANO,RUA,SAO JOSE DA SAFIRA,99,"32777160, 32778400, 32773011",CONJUNTO CELSO MACHADO,POINT (603626.179260097 7800980.4011935)
CENTRO_SAUDE.448,448,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PARAUNA - VENDA NOVA,RUA,JOAO FERREIRA DA SILVA,248,"32772802, 32775569, 32775568",MANTIQUEIRA,POINT (605880.062785638 7810068.37421578)
CENTRO_SAUDE.222,222,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JARDIM ALVORADA,RUA,ENGENHO DO SOL,580,"32777130, 32778432, 32778456",ENGENHO NOGUEIRA,POINT (606398.817564551 7799948.78504249)
CENTRO_SAUDE.337,337,CENTRO DE SAUDE,CS,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,RUA,ERIDANO,540,"32775936, 32775937",MIRAMAR,POINT (603393.726338451 7788476.94908778)
CENTRO_SAUDE.235,235,CENTRO DE SAUDE,CS,CENTRO DE SAUDE INDEPENDENCIA,RUA,MARIA ANTONIETA FERREIRA,151,"32775850, 32775851, 32779116",INDEPENDÊNCIA,POINT (601300.733155871 7786035.53603033)
CENTRO_SAUDE.443,443,CENTRO DE SAUDE,CS,CENTRO DE SAUDE NOVO AARAO REIS,AVE,DETETIVE EDUARDO FERNANDES,205,"32776640, 32776763, 32776652",NOVO AARÃO REIS,POINT (614267.001723356 7805712.66080862)
CENTRO_SAUDE.208,208,CENTRO DE SAUDE,CS,CENTRO DE SAUDE VALE DO JATOBA,RUA,LUIZ LEITE DE FARIA,171,"32775854, 32775855, 32771505",VALE DO JATOBÁ,POINT (600814.343784229 7787093.50068469)
CENTRO_SAUDE.430,430,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,RUA,SERRA DO CIPO,170,"32776664, 32776665",RIBEIRO DE ABREU,POINT (615327.334841375 7807428.86148095)
CENTRO_SAUDE.332,332,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAO JOSE,RUA,VIOLETA DE MELO,655,"32777214, 32778449, 32778569",JARDIM SÃO JOSÉ,POINT (604790.778508296 7799230.61021123)
CENTRO_SAUDE.386,386,CENTRO DE SAUDE,CS,CENTRO DE SAUDE URUCUIA,RUA,NELSON DE PAULA PIRES,325,"32775938, 32771356, 32775939",PONGELUPE,POINT (603750.630204543 7787148.78827505)
CENTRO_SAUDE.178,178,CENTRO DE SAUDE,CS,CENTRO DE SAUDE NORALDINO DE LIMA,AVE,AMAZONAS,4373,"32777042, 32777043, 32776819",NOVA SUISSA,POINT (607488.884728691 7795886.56088278)
CENTRO_SAUDE.354,354,CENTRO DE SAUDE,CS,CENTRO DE SAUDE WALDOMIRO LOBO,AVE,AMAZONAS,8889,"32779065, 32779102, 32779108",MADRE GERTRUDES,POINT (604109.36667321 7794223.32942872)
CENTRO_SAUDE.435,435,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAO FRANCISCO,RUA,VIANA DO CASTELO,485,"32777844, 32777845",SÃO FRANCISCO,POINT (609569.492653139 7801808.95539654)
CENTRO_SAUDE.309,309,ANEXO DO CENTRO DE SAUDE,ANEXO CS,ANEXO DO CENTRO DE SAUDE GLORIA,RUA,BARBOSA,148,32778428,SÃO SALVADOR,POINT (602939.771000763 7799762.56583553)
CENTRO_SAUDE.236,236,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CONJUNTO PAULO VI,RUA,DAS ALMAS,122,"32777496, 32777497, 32771336",CONJUNTO PAULO VI,POINT (616962.822126587 7806612.36016605)
CENTRO_SAUDE.404,404,CENTRO DE SAUDE,CS,CENTRO DE SAUDE ANDRADAS,RUA,MARIANA AMELIA DE AZEVEDO,21,"32778891, 32779481",SÃO JOÃO BATISTA,POINT (608597.769377925 7808113.98202665)
CENTRO_SAUDE.229,229,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PILAR - OLHOS DAGUA,RUA,SAO PEDRO DA ALDEIA,455,"32778240, 32778241",SERRA DO CURRAL,POINT (608070.793960658 7788224.04056657)
CENTRO_SAUDE.182,182,CENTRO DE SAUDE,CS,CENTRO DE SAUDE HAVAI,RUA,PAULO DINIZ CARNEIRO,742,"32779640, 32779641, 32776484",HAVAÍ,POINT (607489.605642624 7791900.08901343)
CENTRO_SAUDE.329,329,CENTRO DE SAUDE,CS,CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,RUA,FLOR DE MAIO,172,"32779112, 32775824, 32775825",LINDÉIA,POINT (599738.261103605 7790540.14912939)
CENTRO_SAUDE.205,205,CENTRO DE SAUDE,CS,CENTRO DE SAUDE VENTOSA,RUA,CORCOVADO,1522,"32779630, 32779631, 32776479",JARDIM AMÉRICA,POINT (607604.536394778 7793627.30831057)
CENTRO_SAUDE.248,248,CENTRO DE SAUDE,CS,CENTRO DE SAUDE GLORIA,RUA,ENEIDA,955,"32777126, 32777176",NOVO GLÓRIA,POINT (602912.078327279 7799107.73522208)
CENTRO_SAUDE.942,942,CENTRO DE SAUDE,CS,CENTRO DE SAUDE COQUEIROS,RUA,ENEIDA,1583,"32778428, 32777120, 32777121",COQUEIROS,POINT (602345.547193565 7799533.52932476)
CENTRO_SAUDE.290,290,ANEXO DO CENTRO DE SAUDE,ANEXO CS,ANEXO DO CENTRO DE SAUDE CALIFORNIA,RUA,DOS VIOLOES,570,,CONJUNTO CALIFÓRNIA I,POINT (603906.56013275 7797006.24297473)
CENTRO_SAUDE.231,231,CENTRO DE SAUDE,CS,CENTRO DE SAUDE OLAVO ALBINO CORREA,RUA,PAPA HONORIO III,8,"32776795, 32777961",BELMONTE,POINT (614607.456142648 7804665.67391977)
CENTRO_SAUDE.406,406,CENTRO DE SAUDE,CS,CENTRO DE SAUDE GOIANIA,RUA,POMBA,677,"32776653, 32776669, 32779491",GOIÂNIA,POINT (615404.499452296 7803251.15184163)
CENTRO_SAUDE.451,451,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JARDIM VITÓRIA - MARCELO PONTEL GOMES,RUA,BRANCA,15,"32777474, 32779988, 32778028",VITÓRIA,POINT (617025.376819711 7803656.14940555)
CENTRO_SAUDE.369,369,CENTRO DE SAUDE,CS,CENTRO DE SAUDE NOSSA SENHORA DA CONCEICAO - PADRE TARCISIO,RUA,CORONEL JORGE DAVIS,500,"32778250, 32778264",NOSSA SENHORA DO ROSÁRIO,POINT (613463.221558918 7795451.5194342)
CENTRO_SAUDE.328,328,ANEXO DO CENTRO DE SAUDE,ANEXO CS,ANEXO DO CENTRO DE SAUDE SANTA ROSA,RUA,DOS OTIS,60,,SUZANA,POINT (611698.182095677 7803159.58048072)
CENTRO_SAUDE.219,219,CENTRO DE SAUDE,CS,CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,RUA,MARIA DE LOURDES MANSO,80,"32775978, 32775899, 32462029",BAIRRO DAS INDÚSTRIAS I,POINT (604541.053113792 7792230.17512949)
CENTRO_SAUDE.413,413,CENTRO DE SAUDE,CS,CENTRO DE SAUDE REGINA,RUA,ARISTOLINO BASILIO DE OLIVEIRA,467,"32462071, 32778922, 32778935, 32778920",LINDÉIA,POINT (598892.39414988 7790170.35440003)
CENTRO_SAUDE.358,358,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CEU AZUL,RUA,ALICE MARQUES,187,"32777300, 32777301",CÉU AZUL,POINT (604889.068972304 7808178.75884151)
CENTRO_SAUDE.221,221,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PROVIDENCIA,RUA,SAO SEBASTIAO,30,"32776760, 32776761",MINASLÂNDIA,POINT (612121.466020922 7804400.44790575)
CENTRO_SAUDE.164,164,CENTRO DE SAUDE,CS,CENTRO DE SAUDE NOSSA SENHORA APARECIDA,RUA,PAULINO MARQUES GONTIJO,109,"32775244, 32778263",NOVO SÃO LUCAS,POINT (613303.136737756 7795847.42884799)
CENTRO_SAUDE.324,324,CENTRO DE SAUDE,CS,CENTRO DE SAUDE MINAS CAIXA,RUA,CAPITAO SERGIO PIRES,226,"32775418, 32775419",MINASCAIXA,POINT (609157.942564327 7809725.97391037)
CENTRO_SAUDE.303,303,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JAQUELINE,RUA,AGENOR DE PAULA ESTRELA,1100,"32775490, 32775491, 32775440",JAQUELINE,POINT (611381.343774448 7810095.99859292)
CENTRO_SAUDE.190,190,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAO BERNARDO - AMELIA ROCHA DE MELO,RUA,ARMANDO RIBEIRO DOS SANTOS,265,"32776742, 32779201, 32779208",SÃO BERNARDO,POINT (611156.550502446 7804977.83260028)
CENTRO_SAUDE.278,278,CENTRO DE SAUDE,CS,CENTRO DE SAUDE HELIOPOLIS,RUA,ADEMAR DIAS DUARTE,220,"32777402, 32777403, 32777417",HELIÓPOLIS,POINT (610853.987792631 7805526.36607555)
CENTRO_SAUDE.416,416,CENTRO DE SAUDE,CS,CENTRO DE SAUDE LAGOA,RUA,JOSE SABINO MACIEL,176,"32775563, 32775552",LAGOA,POINT (604620.411119297 7809323.5858153)
CENTRO_SAUDE.503,503,CENTRO DE SAUDE,CS,CENTRO DE SAUDE OSWALDO CRUZ,RUA,UBERABA,270,"32778763, 32778880",BARRO PRETO,POINT (609293.256869224 7796972.64981252)
CENTRO_SAUDE.414,414,CENTRO DE SAUDE,CS,CENTRO DE SAUDE TIROL - FRANCISCO GOMES BARBOSA,AVE,NELIO CERQUEIRA,15,"32779168, 32779166, 32779167",TIROL,POINT (600908.354655047 7789869.61561454)
CENTRO_SAUDE.202,202,CENTRO DE SAUDE,CS,CENTRO DE SAUDE TIA AMANCIA,RUA,IRAI,248,32778829,CORAÇÃO DE JESUS,POINT (609877.911967341 7793948.78531137)
CENTRO_SAUDE.399,399,CENTRO DE SAUDE,CS,CENTRO DE SAUDE ITAMARATI,RUA,ANITA BLUMBERG,63,"32777876, 32777877, 32771596",OURO PRETO,POINT (605970.618647696 7802758.41213737)
CENTRO_SAUDE.145,145,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CARLOS CHAGAS,AVE,FRANCISCO SALES,1715,32460235,SANTA EFIGÊNIA,POINT (612658.707514337 7796035.9104831)
CENTRO_SAUDE.318,318,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTA AMELIA,RUA,ANTERO DE QUENTAL,151,"32777453, 32777438, 32778027, 32777974",SANTA BRANCA,POINT (608150.943567 7806138.734083)
CENTRO_SAUDE.268,268,CENTRO DE SAUDE,CS,CENTRO DE SAUDE BETANIA,RUA,DAS CANOAS,678,"32775980, 32775981, 32771386",ESTRELA DO ORIENTE,POINT (605822.539775829 7792399.59064546)
CENTRO_SAUDE.428,428,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PALMEIRAS,AVE,DOM JOAO VI,1821,"32776485, 32776486, 32776595",PALMEIRAS,POINT (606912.879521241 7791274.70961173)
CENTRO_SAUDE.280,280,CENTRO DE SAUDE,CS,CENTRO DE SAUDE BOA VISTA,RUA,GURUA,833,"32775680, 32775681",BOA VISTA,POINT (615448.084050889 7800053.10107936)
CENTRO_SAUDE.228,228,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CAFEZAL,RUA,BELA VISTA,30,32775243,SANTANA DO CAFEZAL,POINT (613945.166420484 7795212.94799473)
CENTRO_SAUDE.364,364,CENTRO DE SAUDE,CS,CENTRO DE SAUDE ZILAH SPOSITO,RUA,COQUILHO,85,"32775482, 32469066",JAQUELINE,POINT (612258.657649387 7809764.95557939)
CENTRO_SAUDE.260,260,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PRIMEIRO DE MAIO,RUA,OSCAR LOBO PEREIRA,207,"32779492, 32779498, 32779499",PRIMEIRO DE MAIO,POINT (612278.329937053 7803496.18896719)
CENTRO_SAUDE.350,350,CENTRO DE SAUDE,CS,CENTRO DE SAUDE NOVA YORK,RUA,WILTON MARQUES PEREIRA,10,"32775416, 32775430",JARDIM DOS COMERCIÁRIOS,POINT (608089.990286179 7810960.15269686)
CENTRO_SAUDE.464,464,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JAQUELINE II,RUA,JOAO PEREIRA LIMA,55,"32775451, 32775534, 32771896",JAQUELINE,POINT (610589.478855018 7809735.12204829)
CENTRO_SAUDE.533,533,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CAMARGOS,RUA,LUIZA EFIGENIA SILVA,413,"32462132, 32462133, 32462134",CAMARGOS,POINT (602748.480776447 7794860.97963686)
CENTRO_SAUDE.191,191,CENTRO DE SAUDE,CS,CENTRO DE SAUDE MARIA GORETTI,RUA,HERCULANO SOARES ROCHA,780,"32776676, 32776677, 32779541",IPÊ,POINT (614669.020670889 7802809.45485965)
CENTRO_SAUDE.346,346,ANEXO DO CENTRO DE SAUDE,ANEXO CS,ANEXO DO CENTRO DE SAUDE NS DE FÁTIMA - ACABA MUNDO,RUA,DOS CARVALHOS,25,,ACABA MUNDO,POINT (612118.307862556 7792511.37789149)
CENTRO_SAUDE.211,211,CENTRO DE SAUDE,CS,CENTRO DE SAUDE MILIONARIOS,RUA,DOS CRUZEIRENSES,30,"32775934, 32775935, 32779079",MILIONÁRIOS,POINT (604695.596727587 7790296.19878477)
CENTRO_SAUDE.359,359,CENTRO DE SAUDE,CS,CENTRO DE SAUDE DOM ORIONE,RUA,EXPEDICIONARIO CELSO RACIOPPI,610,"32777860, 32777861",OURO PRETO,POINT (606492.643218576 7803128.25625923)
CENTRO_SAUDE.393,393,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PARAISO,AVE,MEM DE SA,1001,"32775227, 32775028, 32778253",PARAÍSO,POINT (614259.209400496 7796514.62304254)
CENTRO_SAUDE.321,321,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTOS ANJOS,RUA,MIOSOTIS,15,"32776026, 32776088",SANTO ANDRÉ,POINT (609224.981278454 7798694.19939609)
CENTRO_SAUDE.440,440,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAO JORGE,RUA,OSCAR TROMPOWSKY,1698,"32777036, 32777037, 32776598",NOVA GRANADA,POINT (608318.431624277 7794279.06753298)
CENTRO_SAUDE.340,340,CENTRO DE SAUDE,CS,CENTRO DE SAUDE ERMELINDA,AVE,PAES DE ABREU,114,"32776078, 32776081, 32776100, 32776109",ERMELINDA,POINT (609044.669401234 7800313.27983696)
CENTRO_SAUDE.368,368,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAO MARCOS,RUA,PAULISTA,571,"32771147, 32771148, 32771113",FERNÃO DIAS,POINT (613623.47954281 7802423.56029549)
CENTRO_SAUDE.192,192,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAO PAULO,RUA,AIURUOCA,455,"32776674, 32776675",SÃO PAULO,POINT (612624.147320557 7802916.58161134)
CENTRO_SAUDE.289,289,CENTRO DE SAUDE,CS,CENTRO DE SAUDE BOM JESUS,RUA,BERNARDO CISNEIROS,559,"32776004, 32776108, 32776054",APARECIDA,POINT (609322.224520236 7799823.70948759)
CENTRO_SAUDE.524,524,CENTRO DE SAUDE,CS,CENTRO DE SAUDE MANTIQUEIRA,RUA,CESAR SALLES BARBOSA,600,"32775565, 32775564, 32775480",MANTIQUEIRA,POINT (606776.112934553 7810377.29059514)
CENTRO_SAUDE.262,262,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTA CRUZ - PADRE FERNANDO DE MELLO,RUA,CONCEICAO VIDIGAL PAULUCCI,150,"32776072, 32776073, 32467541",PALMARES,POINT (611139.897207618 7802316.90200548)
CENTRO_SAUDE.310,310,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CARLOS PRATES,RUA,RIACHUELO,35,"32778947, 32778385",CARLOS PRATES,POINT (608497.207483349 7797633.31684155)
CENTRO_SAUDE.1001,1001,CENTRO DE SAUDE,CS,CENTRO DE SAUDE VILA MARIA,AVE,DOS SOCIAIS,305,"32777952, 32468035",VILA MARIA,POINT (616683.127239176 7804432.55360152)
CENTRO_SAUDE.226,226,CENTRO DE SAUDE,CS,CENTRO DE SAUDE ETELVINA CARNEIRO,RUA,DOIS MIL QUATROCENTOS E DEZESSETE,235,"32775502, 32775503, 32775400",ETELVINA CARNEIRO,POINT (611876.273862652 7808966.58399305)
CENTRO_SAUDE.433,433,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAO CRISTOVAO,RUA,ITAPECERICA,555,"32776010, 32776011, 32776196",LAGOINHA,POINT (610486.710897557 7798294.00085535)
CENTRO_SAUDE.217,217,CENTRO DE SAUDE,CS,CENTRO DE SAUDE VILA LEONINA,PCA,DO ENSINO,240,"32779632, 32779633, 32779637",ALPES,POINT (608285.523991969 7793061.47592063)
CENTRO_SAUDE.302,302,CENTRO DE SAUDE,CS,CENTRO DE SAUDE ITAIPU - JATOBA,RUA,WANDERLEY DE SALES BARBOSA,350,"32775823, 32775822",MARILÂNDIA,POINT (599542.615616486 7788651.36095929)
CENTRO_SAUDE.343,343,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTA MONICA,RUA,DOS ZAPOTECAS,98,"32779482, 32775526, 32775527",SANTA MÔNICA,POINT (607145.14111589 7807056.11894598)
CENTRO_SAUDE.405,405,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JOAO PINHEIRO,RUA,FREI LUIZ DE SOUZA,811,"32779660, 32779661",JOÃO PINHEIRO,POINT (604286.188872704 7796229.04306466)
CENTRO_SAUDE.561,561,CENTRO DE SAUDE,CS,CENTRO DE SAUDE BARREIRO DE CIMA,PCA,MODESTINO SALES BARBOSA,100,"32462006, 32772007",FLÁVIO MARQUES LISBOA,POINT (604063.635220744 7788672.58926578)
CENTRO_SAUDE.968,968,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CIDADE OZANAN,RUA,DOUTOR FURTADO DE MENEZES,610,"32776263, 32776264, 32779947",IPIRANGA,POINT (611777.507117804 7800952.60970322)
CENTRO_SAUDE.246,246,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CIDADE OZANAN,RUA,DOUTOR FURTADO DE MENEZES,610,"32776263, 32776264, 32779947",IPIRANGA,POINT (611777.507117804 7800952.60970322)
CENTRO_SAUDE.188,188,CENTRO DE SAUDE,CS,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS,RUA,JOSE GONCALVES,375,"32775901, 32779082, 32775900",BARREIRO,POINT (602254.692328408 7790914.62881563)
CENTRO_SAUDE.165,165,CENTRO DE SAUDE,CS,CENTRO DE SAUDE NOVO HORIZONTE,RUA,PEDRO ALEXANDRINO MENDONCA,127,"32775602, 32775603, 32468527",CONJUNTO TAQUARIL,POINT (617512.829905267 7797054.57313727)
CENTRO_SAUDE.333,333,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CALIFORNIA,AVE,DAS CASTANHOLAS,277,"32778520, 32778521, 32779296",CONJUNTO CALIFÓRNIA I,POINT (603623.991540416 7796735.52807796)
CENTRO_SAUDE.398,398,CENTRO DE SAUDE,CS,CENTRO DE SAUDE LAJEDO,RUA,JULIO RIBEIRO,681,"32771324, 32778916, 32778556",LAJEDO,POINT (613770.003890319 7806500.86014043)
CENTRO_SAUDE.355,355,CENTRO DE SAUDE,CS,CENTRO DE SAUDE RIO BRANCO,RUA,CRISANTO MUNIZ,120,"32775475, 32775525",RIO BRANCO,POINT (606799.307615703 7808691.59370574)
CENTRO_SAUDE.168,168,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CABANA,RUA,CENTRO SOCIAL,536,"32777040, 32777041, 32773623",NOVA GAMELEIRA,POINT (604994.215552205 7794475.80856257)
CENTRO_SAUDE.284,284,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PADRE EUSTAQUIO,RUA,CARIOCA,820,"32777218, 32778479, 32778306",PADRE EUSTÁQUIO,POINT (605767.799037481 7797557.69460731)
CENTRO_SAUDE.352,352,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PIRATININGA,RUA,CRAVO DA INDIA,11,"32775431, 32775509",PIRATININGA,POINT (605477.956343633 7808518.48954582)
CENTRO_SAUDE.282,282,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JOAO XXIII,RUA,TOLEDO,481,"32779131, 32779060",OESTE,POINT (604048.166016845 7795126.32562646)
CENTRO_SAUDE.453,453,CENTRO DE SAUDE,CS,CENTRO DE SAUDE MARIANO DE ABREU,RUA,BARREIRO,1007,"32775630, 32775631, 32779041",CASA BRANCA,POINT (616530.764563342 7799094.63263726)
CENTRO_SAUDE.424,424,CENTRO DE SAUDE,CS,CENTRO DE SAUDE GRANJA DE FREITAS,RUA,SAO VICENTE,735,"32775725, 32775752, 32775727",GRANJA DE FREITAS,POINT (616478.517414281 7797993.29214491)
CENTRO_SAUDE.508,508,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CAMPO ALEGRE,RUA,BEIJA FLOR,370,"32777344, 32777345, 32777358",PLANALTO,POINT (610038.779142395 7806993.37297584)
CENTRO_SAUDE.166,166,CENTRO DE SAUDE,CS,CENTRO DE SAUDE VISTA ALEGRE,RUA,SENECA,9,"32779605, 32779604",NOVA CINTRA,POINT (605516.709656736 7793796.11638669)
CENTRO_SAUDE.194,194,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,RUA,MARIA DA PAZ MAIA,168,"32775560, 32779485",JARDIM DOS COMERCIÁRIOS,POINT (607279.551721595 7811642.12348575)
CENTRO_SAUDE.449,449,CENTRO DE SAUDE,CS,CENTRO DE SAUDE VILA IMPERIAL,RUA,GUILHERME PINTO DA FONSECA,350,"32779104, 32779105, 32771503",MADRE GERTRUDES,POINT (604147.5449323 7793842.62691961)
CENTRO_SAUDE.421,421,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAO GERALDO,RUA,ITAITUBA,318,"32775682, 32775683, 32775749",SÃO GERALDO,POINT (614914.803497092 7799573.96032331)
CENTRO_SAUDE.366,366,CENTRO DE SAUDE,CS,CENTRO DE SAUDE GENTIL GOMES,RUA,MANOEL PASSOS,580,"32776270, 32776262, 32776280",SANTA CRUZ,POINT (610357.894317966 7802088.7984353)
CENTRO_SAUDE.401,401,CENTRO DE SAUDE,CS,CENTRO DE SAUDE ALCIDES LINS,RUA,PANEMA,255,"32776002, 32776003, 32776090",CONCÓRDIA,POINT (611209.178791393 7799760.30239392)
CENTRO_SAUDE.220,220,CENTRO DE SAUDE,CS,CENTRO DE SAUDE MENINO JESUS,RUA,CONGONHAS,692,32778824,SANTO ANTÔNIO,POINT (610720.617414534 7794472.15655837)
CENTRO_SAUDE.339,339,CENTRO DE SAUDE,CS,CENTRO DE SAUDE GUARANI,RUA,PACAEMBU,160,"32776770, 32776771, 32778915",GUARANI,POINT (612640.261560647 7805573.79907352)
CENTRO_SAUDE.317,317,CENTRO DE SAUDE,CS,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA,RUA,CORINTO,450,32775248,SERRA,POINT (613608.002093066 7794549.99293731)
CENTRO_SAUDE.326,326,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JARDIM LEBLON,RUA,CORONEL ANTONIO LOPES COELHO,269,"32775521, 32775522",JARDIM LEBLON,POINT (606029.059681706 7807483.04389803)
CENTRO_SAUDE.234,234,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTA TEREZINHA,RUA,SENADOR VIRGILIO TAVORA,157,"32777102, 32777103, 32463005",SANTA TEREZINHA,POINT (604014.522972117 7802079.18039302)
CENTRO_SAUDE.447,447,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CONJUNTO BETANIA,RUA,ONA,105,"32775982, 32775983, 32771506",BETÂNIA,POINT (605087.884524124 7792145.70232369)
